"","labs","rows"
"836","Max Run Cadence","173 spm"
"837","Avg Stride Length","1.39 m"
"838","Moderate","1 min"
"839","Vigorous","37 min
x2"
"840","Total","75 min"
"841","title","Athens Running"
"842","Distance","11.00 mi"
"843","Calories Burned","1,369 C"
"844","Calories Consumed","-- C"
"845","Calories Net","-1,369 C"
"846","Est. Sweat Loss","523 ml"
"847","Fluid Consumed","-- ml"
"848","Fluid Net","-523 ml"
"849","Aerobic","4.1 Highly Impacting"
"850","Anaerobic","0.0 No Benefit"
"851","Avg HR","160 bpm"
"852","Max HR","177 bpm"
"853","Time","1:27:21"
"854","Moving Time","1:27:03"
"855","Elapsed Time","1:27:55"
"856","Avg Speed","7.6 mph"
"857","Avg Moving Speed","7.6 mph"
"858","Max Speed","9.2 mph"
"859","Total Ascent","581.7 ft"
"860","Total Descent","550.5 ft"
"861","Min Elev","632.4 ft"
"862","Max Elev","755.7 ft"
"863","Avg Run Cadence","150 spm"
"864","Max Run Cadence","164 spm"
"865","Avg Stride Length","1.35 m"
"866","Moderate","1 min"
"867","Vigorous","86 min
x2"
"868","Total","173 min"
"869","title","Athens Running"
"870","Distance","13.14 mi"
"871","Calories Burned","1,649 C"
"872","Calories Consumed","-- C"
"873","Calories Net","-1,649 C"
"874","Est. Sweat Loss","615 ml"
"875","Fluid Consumed","-- ml"
"876","Fluid Net","-615 ml"
"877","Aerobic","4.6 Highly Impacting"
"878","Anaerobic","0.4 No Benefit"
"879","Avg HR","166 bpm"
"880","Max HR","179 bpm"
"881","Time","1:42:40"
"882","Moving Time","1:41:33"
"883","Elapsed Time","1:43:56"
"884","Avg Speed","7.7 mph"
"885","Avg Moving Speed","7.8 mph"
"886","Max Speed","13.4 mph"
"887","Total Ascent","776.6 ft"
"888","Total Descent","731.7 ft"
"889","Min Elev","580.7 ft"
"890","Max Elev","780.8 ft"
"891","Avg Run Cadence","149 spm"
"892","Max Run Cadence","196 spm"
"893","Avg Stride Length","1.39 m"
"894","Moderate","1 min"
"895","Vigorous","100 min
x2"
"896","Total","201 min"
"897","title","Athens Running"
"898","Distance","9.01 mi"
"899","Calories Burned","1,129 C"
"900","Calories Consumed","-- C"
"901","Calories Net","-1,129 C"
"902","Est. Sweat Loss","412 ml"
"903","Fluid Consumed","-- ml"
"904","Fluid Net","-412 ml"
"905","Aerobic","4.2 Highly Impacting"
"906","Anaerobic","0.5 No Benefit"
"907","Avg HR","165 bpm"
"908","Max HR","180 bpm"
"909","Time","1:08:48"
"910","Moving Time","1:08:45"
"911","Elapsed Time","1:08:58"
"912","Avg Speed","7.9 mph"
"913","Avg Moving Speed","7.9 mph"
"914","Max Speed","9.6 mph"
"915","Total Ascent","552.8 ft"
"916","Total Descent","502.7 ft"
"917","Min Elev","633.6 ft"
"918","Max Elev","741.5 ft"
"919","Avg Run Cadence","155 spm"
"920","Max Run Cadence","169 spm"
"921","Avg Stride Length","1.36 m"
"922","Moderate","1 min"
"923","Vigorous","67 min
x2"
"924","Total","135 min"
"925","title","Athens Running"
"926","Distance","4.01 mi"
"927","Calories Burned","484 C"
"928","Calories Consumed","-- C"
"929","Calories Net","-484 C"
"930","Est. Sweat Loss","180 ml"
"931","Fluid Consumed","-- ml"
"932","Fluid Net","-180 ml"
"933","Aerobic","3.3 Impacting"
"934","Anaerobic","1.9 Some Benefit"
"935","Avg HR","161 bpm"
"936","Max HR","187 bpm"
"937","Time","30:05"
"938","Moving Time","30:04"
"939","Elapsed Time","30:05"
"940","Avg Speed","8.0 mph"
"941","Avg Moving Speed","8.0 mph"
"942","Max Speed","11.0 mph"
"943","Total Ascent","52.4 ft"
"944","Total Descent","61.3 ft"
"945","Min Elev","761.2 ft"
"946","Max Elev","784.1 ft"
"947","Avg Run Cadence","148 spm"
"948","Max Run Cadence","169 spm"
"949","Avg Stride Length","1.45 m"
"950","Moderate","1 min"
"951","Vigorous","28 min
x2"
"952","Total","57 min"
"953","title","Athens Running"
"954","Distance","4.01 mi"
"955","Calories Burned","510 C"
"956","Calories Consumed","-- C"
"957","Calories Net","-510 C"
"958","Est. Sweat Loss","239 ml"
"959","Fluid Consumed","-- ml"
"960","Fluid Net","-239 ml"
"961","Aerobic","2.3 Maintaining"
"962","Anaerobic","0.0 No Benefit"
"963","Avg HR","140 bpm"
"964","Max HR","155 bpm"
"965","Time","39:58"
"966","Moving Time","39:55"
"967","Elapsed Time","39:58"
"968","Avg Speed","6.0 mph"
"969","Avg Moving Speed","6.0 mph"
"970","Max Speed","7.0 mph"
"971","Total Ascent","170.8 ft"
"972","Total Descent","116.9 ft"
"973","Min Elev","634.9 ft"
"974","Max Elev","741.5 ft"
"975","Avg Run Cadence","146 spm"
"976","Max Run Cadence","160 spm"
"977","Avg Stride Length","1.11 m"
"978","Moderate","1 min"
"979","Vigorous","38 min
x2"
"980","Total","77 min"
"981","title","Athens Running"
"982","Distance","13.05 mi"
"983","Calories Burned","1,587 C"
"984","Calories Consumed","-- C"
"985","Calories Net","-1,587 C"
"986","Est. Sweat Loss","624 ml"
"987","Fluid Consumed","-- ml"
"988","Fluid Net","-624 ml"
"989","Aerobic","4.1 Highly Impacting"
"990","Anaerobic","0.4 No Benefit"
"991","Avg HR","157 bpm"
"992","Max HR","174 bpm"
"993","Time","1:44:06"
"994","Moving Time","1:43:42"
"995","Elapsed Time","1:47:57"
"996","Avg Speed","7.5 mph"
"997","Avg Moving Speed","7.6 mph"
"998","Max Speed","11.0 mph"
"999","Total Ascent","615.9 ft"
"1000","Total Descent","607.2 ft"
"1001","Min Elev","580.7 ft"
"1002","Max Elev","780.8 ft"
"1003","Avg Run Cadence","148 spm"
"1004","Max Run Cadence","174 spm"
"1005","Avg Stride Length","1.36 m"
"1006","Moderate","1 min"
"1007","Vigorous","106 min
x2"
"1008","Total","213 min"
"1009","title","Athens Running"
"1010","Distance","10.40 mi"
"1011","Calories Burned","1,274 C"
"1012","Calories Consumed","-- C"
"1013","Calories Net","-1,274 C"
"1014","Est. Sweat Loss","487 ml"
"1015","Fluid Consumed","-- ml"
"1016","Fluid Net","-487 ml"
"1017","Aerobic","3.9 Impacting"
"1018","Anaerobic","0.0 No Benefit"
"1019","Avg HR","160 bpm"
"1020","Max HR","174 bpm"
"1021","Time","1:21:19"
"1022","Moving Time","1:21:11"
"1023","Elapsed Time","1:22:11"
"1024","Avg Speed","7.7 mph"
"1025","Avg Moving Speed","7.7 mph"
"1026","Max Speed","10.6 mph"
"1027","Total Ascent","638.9 ft"
"1028","Total Descent","553.2 ft"
"1029","Min Elev","628.1 ft"
"1030","Max Elev","741.5 ft"
"1031","Avg Run Cadence","149 spm"
"1032","Max Run Cadence","180 spm"
"1033","Avg Stride Length","1.38 m"
"1034","Moderate","1 min"
"1035","Vigorous","80 min
x2"
"1036","Total","161 min"
"1037","title","Athens Running"
"1038","Distance","5.01 mi"
"1039","Calories Burned","645 C"
"1040","Calories Consumed","-- C"
"1041","Calories Net","-645 C"
"1042","Est. Sweat Loss","236 ml"
"1043","Fluid Consumed","-- ml"
"1044","Fluid Net","-236 ml"
"1045","Aerobic","3.6 Impacting"
"1046","Anaerobic","1.1 Some Benefit"
"1047","Avg HR","164 bpm"
"1048","Max HR","180 bpm"
"1049","Time","39:25"
"1050","Moving Time","38:58"
"1051","Elapsed Time","41:56"
"1052","Avg Speed","7.6 mph"
"1053","Avg Moving Speed","7.7 mph"
"1054","Max Speed","13.0 mph"
"1055","Total Ascent","328.3 ft"
"1056","Total Descent","328.3 ft"
"1057","Min Elev","628.6 ft"
"1058","Max Elev","780.8 ft"
"1059","Avg Run Cadence","148 spm"
"1060","Max Run Cadence","194 spm"
"1061","Avg Stride Length","1.38 m"
"1062","Moderate","1 min"
"1063","Vigorous","40 min
x2"
"1064","Total","81 min"
"1065","title","Athens Running"
"1066","Distance","7.03 mi"
"1067","Calories Burned","795 C"
"1068","Calories Consumed","-- C"
"1069","Calories Net","-795 C"
"1070","Est. Sweat Loss","309 ml"
"1071","Fluid Consumed","-- ml"
"1072","Fluid Net","-309 ml"
"1073","Aerobic","3.5 Impacting"
"1074","Anaerobic","3.0 Impacting"
"1075","Avg HR","159 bpm"
"1076","Max HR","182 bpm"
"1077","Time","51:35"
"1078","Moving Time","51:28"
"1079","Elapsed Time","1:01:37"
"1080","Avg Speed","8.2 mph"
"1081","Avg Moving Speed","8.2 mph"
"1082","Max Speed","13.6 mph"
"1083","Total Ascent","191.1 ft"
"1084","Total Descent","175.1 ft"
"1085","Min Elev","718.5 ft"
"1086","Max Elev","735.7 ft"
"1087","Avg Run Cadence","152 spm"
"1088","Max Run Cadence","194 spm"
"1089","Avg Stride Length","1.42 m"
"1090","Moderate","1 min"
"1091","Vigorous","59 min
x2"
"1092","Total","119 min"
"1093","title","Athens Running"
"1094","Distance","8.02 mi"
"1095","Calories Burned","990 C"
"1096","Calories Consumed","-- C"
"1097","Calories Net","-990 C"
"1098","Est. Sweat Loss","389 ml"
"1099","Fluid Consumed","-- ml"
"1100","Fluid Net","-389 ml"
"1101","Aerobic","3.6 Impacting"
"1102","Anaerobic","0.2 No Benefit"
"1103","Avg HR","157 bpm"
"1104","Max HR","175 bpm"
"1105","Time","1:04:51"
"1106","Moving Time","1:04:41"
"1107","Elapsed Time","1:05:43"
"1108","Avg Speed","7.4 mph"
"1109","Avg Moving Speed","7.4 mph"
"1110","Max Speed","9.9 mph"
"1111","Total Ascent","454.7 ft"
"1112","Total Descent","380.8 ft"
"1113","Min Elev","633.6 ft"
"1114","Max Elev","741.5 ft"
"1115","Avg Run Cadence","148 spm"
"1116","Max Run Cadence","160 spm"
"1117","Avg Stride Length","1.34 m"
"1118","Moderate","1 min"
"1119","Vigorous","64 min
x2"
"1120","Total","129 min"
"1121","title","Athens Running"
"1122","Distance","12.08 mi"
"1123","Calories Burned","1,541 C"
"1124","Calories Consumed","-- C"
"1125","Calories Net","-1,541 C"
"1126","Est. Sweat Loss","602 ml"
"1127","Fluid Consumed","-- ml"
"1128","Fluid Net","-602 ml"
"1129","Aerobic","4.3 Highly Impacting"
"1130","Anaerobic","0.4 No Benefit"
"1131","Avg HR","165 bpm"
"1132","Max HR","177 bpm"
"1133","Time","1:40:29"
"1134","Moving Time","1:39:59"
"1135","Elapsed Time","1:44:50"
"1136","Avg Speed","7.2 mph"
"1137","Avg Moving Speed","7.3 mph"
"1138","Max Speed","9.0 mph"
"1139","Total Ascent","758.5 ft"
"1140","Total Descent","664.3 ft"
"1141","Min Elev","580.7 ft"
"1142","Max Elev","780.8 ft"
"1143","Avg Run Cadence","147 spm"
"1144","Max Run Cadence","164 spm"
"1145","Avg Stride Length","1.32 m"
"1146","Moderate","1 min"
"1147","Vigorous","103 min
x2"
"1148","Total","207 min"
"1149","title","Athens Running"
"1150","Distance","6.22 mi"
"1151","Calories Burned","782 C"
"1152","Calories Consumed","-- C"
"1153","Calories Net","-782 C"
"1154","Est. Sweat Loss","295 ml"
"1155","Fluid Consumed","-- ml"
"1156","Fluid Net","-295 ml"
"1157","Aerobic","3.6 Impacting"
"1158","Anaerobic","0.0 No Benefit"
"1159","Avg HR","162 bpm"
"1160","Max HR","177 bpm"
"1161","Time","49:10"
"1162","Moving Time","49:00"
"1163","Elapsed Time","50:28"
"1164","Avg Speed","7.6 mph"
"1165","Avg Moving Speed","7.6 mph"
"1166","Max Speed","9.0 mph"
"1167","Total Ascent","419.5 ft"
"1168","Total Descent","366.0 ft"
"1169","Min Elev","633.5 ft"
"1170","Max Elev","741.5 ft"
"1171","Avg Run Cadence","150 spm"
"1172","Max Run Cadence","167 spm"
"1173","Avg Stride Length","1.36 m"
"1174","Moderate","1 min"
"1175","Vigorous","49 min
x2"
"1176","Total","99 min"
"1177","title","Athens Running"
"1178","Distance","4.22 mi"
"1179","Calories Burned","523 C"
"1180","Calories Consumed","-- C"
"1181","Calories Net","-523 C"
"1182","Est. Sweat Loss","247 ml"
"1183","Fluid Consumed","-- ml"
"1184","Fluid Net","-247 ml"
"1185","Aerobic","2.4 Maintaining"
"1186","Anaerobic","0.0 No Benefit"
"1187","Avg HR","141 bpm"
"1188","Max HR","155 bpm"
"1189","Time","41:19"
"1190","Moving Time","41:16"
"1191","Elapsed Time","41:19"
"1192","Avg Speed","6.1 mph"
"1193","Avg Moving Speed","6.1 mph"
"1194","Max Speed","7.0 mph"
"1195","Total Ascent","249.4 ft"
"1196","Total Descent","201.8 ft"
"1197","Min Elev","633.6 ft"
"1198","Max Elev","741.5 ft"
"1199","Avg Run Cadence","146 spm"
"1200","Max Run Cadence","164 spm"
"1201","Avg Stride Length","1.12 m"
"1202","Moderate","0 min"
"1203","Vigorous","41 min
x2"
"1204","Total","82 min"
"1205","title","Athens Running"
"1206","Distance","6.23 mi"
"1207","Calories Burned","772 C"
"1208","Calories Consumed","-- C"
"1209","Calories Net","-772 C"
"1210","Est. Sweat Loss","285 ml"
"1211","Fluid Consumed","-- ml"
"1212","Fluid Net","-285 ml"
"1213","Aerobic","3.7 Impacting"
"1214","Anaerobic","1.1 Some Benefit"
"1215","Avg HR","162 bpm"
"1216","Max HR","177 bpm"
"1217","Time","47:33"
"1218","Moving Time","47:26"
"1219","Elapsed Time","48:06"
"1220","Avg Speed","7.9 mph"
"1221","Avg Moving Speed","7.9 mph"
"1222","Max Speed","13.6 mph"
"1223","Total Ascent","386.3 ft"
"1224","Total Descent","378.4 ft"
"1225","Min Elev","634.4 ft"
"1226","Max Elev","741.5 ft"
"1227","Avg Run Cadence","151 spm"
"1228","Max Run Cadence","182 spm"
"1229","Avg Stride Length","1.40 m"
"1230","Moderate","1 min"
"1231","Vigorous","46 min
x2"
"1232","Total","93 min"
"1233","title","Athens Running"
"1234","Distance","9.00 mi"
"1235","Calories Burned","1,118 C"
"1236","Calories Consumed","-- C"
"1237","Calories Net","-1,118 C"
"1238","Est. Sweat Loss","421 ml"
"1239","Fluid Consumed","-- ml"
"1240","Fluid Net","-421 ml"
"1241","Aerobic","3.9 Impacting"
"1242","Anaerobic","0.0 No Benefit"
"1243","Avg HR","163 bpm"
"1244","Max HR","175 bpm"
"1245","Time","1:10:20"
"1246","Moving Time","1:10:12"
"1247","Elapsed Time","1:11:07"
"1248","Avg Speed","7.7 mph"
"1249","Avg Moving Speed","7.7 mph"
"1250","Max Speed","9.1 mph"
"1251","Total Ascent","552.6 ft"
"1252","Total Descent","524.4 ft"
"1253","Min Elev","628.0 ft"
"1254","Max Elev","741.5 ft"
"1255","Avg Run Cadence","149 spm"
"1256","Max Run Cadence","164 spm"
"1257","Avg Stride Length","1.38 m"
"1258","Moderate","1 min"
"1259","Vigorous","69 min
x2"
"1260","Total","139 min"
"1261","title","Athens Running"
"1262","Distance","8.01 mi"
"1263","Calories Burned","1,048 C"
"1264","Calories Consumed","-- C"
"1265","Calories Net","-1,048 C"
"1266","Est. Sweat Loss","389 ml"
"1267","Fluid Consumed","-- ml"
"1268","Fluid Net","-389 ml"
"1269","Aerobic","4.0 Highly Impacting"
"1270","Anaerobic","0.8 No Benefit"
"1271","Avg HR","166 bpm"
"1272","Max HR","178 bpm"
"1273","Time","1:04:54"
"1274","Moving Time","1:04:45"
"1275","Elapsed Time","1:05:10"
"1276","Avg Speed","7.4 mph"
"1277","Avg Moving Speed","7.4 mph"
"1278","Max Speed","8.6 mph"
"1279","Total Ascent","512.5 ft"
"1280","Total Descent","428.5 ft"
"1281","Min Elev","628.7 ft"
"1282","Max Elev","741.5 ft"
"1283","Avg Run Cadence","147 spm"
"1284","Max Run Cadence","159 spm"
"1285","Avg Stride Length","1.35 m"
"1286","Moderate","1 min"
"1287","Vigorous","64 min
x2"
"1288","Total","129 min"
"1289","title","Athens Running"
"1290","Distance","3.32 mi"
"1291","Calories Burned","502 C"
"1292","Calories Consumed","-- C"
"1293","Calories Net","-502 C"
"1294","Est. Sweat Loss","191 ml"
"1295","Fluid Consumed","-- ml"
"1296","Fluid Net","-191 ml"
"1297","Aerobic","3.1 Impacting"
"1298","Anaerobic","0.0 No Benefit"
"1299","Avg HR","157 bpm"
"1300","Max HR","165 bpm"
"1301","Time","31:56"
"1302","Moving Time","31:56"
"1303","Elapsed Time","31:56"
"1304","Avg Speed","6.2 mph"
"1305","Avg Moving Speed","6.2 mph"
"1306","Max Speed","7.3 mph"
"1307","Total Ascent","131.3 ft"
"1308","Total Descent","73.5 ft"
"1309","Min Elev","631.8 ft"
"1310","Max Elev","741.5 ft"
"1311","Avg Run Cadence","143 spm"
"1312","Max Run Cadence","154 spm"
"1313","Avg Stride Length","1.17 m"
"1314","Moderate","0 min"
"1315","Vigorous","31 min
x2"
"1316","Total","62 min"
"1317","title","Athens Running"
"1318","Distance","5.18 mi"
"1319","Calories Burned","638 C"
"1320","Calories Consumed","-- C"
"1321","Calories Net","-638 C"
"1322","Est. Sweat Loss","232 ml"
"1323","Fluid Consumed","-- ml"
"1324","Fluid Net","-232 ml"
"1325","Aerobic","3.5 Impacting"
"1326","Anaerobic","2.8 Maintaining"
"1327","Avg HR","166 bpm"
"1328","Max HR","188 bpm"
"1329","Time","38:43"
"1330","Moving Time","38:25"
"1331","Elapsed Time","46:46"
"1332","Avg Speed","8.0 mph"
"1333","Avg Moving Speed","8.1 mph"
"1334","Max Speed","13.6 mph"
"1335","Total Ascent","157.6 ft"
"1336","Total Descent","157.6 ft"
"1337","Min Elev","718.5 ft"
"1338","Max Elev","735.8 ft"
"1339","Avg Run Cadence","148 spm"
"1340","Max Run Cadence","194 spm"
"1341","Avg Stride Length","1.43 m"
"1342","title","Athens Running"
"1343","Distance","8.30 mi"
"1344","Calories Burned","1,094 C"
"1345","Calories Consumed","-- C"
"1346","Calories Net","-1,094 C"
"1347","Est. Sweat Loss","390 ml"
"1348","Fluid Consumed","-- ml"
"1349","Fluid Net","-390 ml"
"1350","Aerobic","4.4 Highly Impacting"
"1351","Anaerobic","0.0 No Benefit"
"1352","Avg HR","168 bpm"
"1353","Max HR","177 bpm"
"1354","Time","1:05:10"
"1355","Moving Time","1:05:05"
"1356","Elapsed Time","1:05:26"
"1357","Avg Speed","7.6 mph"
"1358","Avg Moving Speed","7.7 mph"
"1359","Max Speed","9.2 mph"
"1360","Total Ascent","501.6 ft"
"1361","Total Descent","496.8 ft"
"1362","Min Elev","630.2 ft"
"1363","Max Elev","741.5 ft"
"1364","Avg Run Cadence","146 spm"
"1365","Max Run Cadence","158 spm"
"1366","Avg Stride Length","1.40 m"
"1367","title","Athens Running"
"1368","Distance","8.70 mi"
"1369","Calories Burned","1,070 C"
"1370","Calories Consumed","-- C"
"1371","Calories Net","-1,070 C"
"1372","Est. Sweat Loss","377 ml"
"1373","Fluid Consumed","-- ml"
"1374","Fluid Net","-377 ml"
"1375","Aerobic","4.8 Highly Impacting"
"1376","Anaerobic","0.0 No Benefit"
"1377","Avg HR","169 bpm"
"1378","Max HR","181 bpm"
"1379","Time","1:09:50"
"1380","Moving Time","1:02:43"
"1381","Elapsed Time","1:08:09"
"1382","Avg Speed","7.5 mph"
"1383","Avg Moving Speed","8.3 mph"
"1384","Max Speed","9.7 mph"
"1385","Total Ascent","488.7 ft"
"1386","Total Descent","454.2 ft"
"1387","Min Elev","629.0 ft"
"1388","Max Elev","741.5 ft"
"1389","Avg Run Cadence","148 spm"
"1390","Max Run Cadence","164 spm"
"1391","Avg Stride Length","1.40 m"
"1392","title","Athens Running"
"1393","Distance","7.35 mi"
"1394","Calories Burned","974 C"
"1395","Calories Consumed","-- C"
"1396","Calories Net","-974 C"
"1397","Est. Sweat Loss","334 ml"
"1398","Fluid Consumed","-- ml"
"1399","Fluid Net","-334 ml"
"1400","Aerobic","4.7 Highly Impacting"
"1401","Anaerobic","0.1 No Benefit"
"1402","Avg HR","172 bpm"
"1403","Max HR","182 bpm"
"1404","Time","55:50"
"1405","Moving Time","55:43"
"1406","Elapsed Time","56:09"
"1407","Avg Speed","7.9 mph"
"1408","Avg Moving Speed","7.9 mph"
"1409","Max Speed","9.0 mph"
"1410","Total Ascent","431.8 ft"
"1411","Total Descent","379.8 ft"
"1412","Min Elev","629.0 ft"
"1413","Max Elev","741.5 ft"
"1414","Avg Run Cadence","150 spm"
"1415","Max Run Cadence","165 spm"
"1416","Avg Stride Length","1.41 m"
"1417","title","Athens Running"
"1418","Distance","4.90 mi"
"1419","Calories Burned","724 C"
"1420","Calories Consumed","-- C"
"1421","Calories Net","-724 C"
"1422","Est. Sweat Loss","278 ml"
"1423","Fluid Consumed","-- ml"
"1424","Fluid Net","-278 ml"
"1425","Aerobic","3.4 Impacting"
"1426","Anaerobic","0.0 No Benefit"
"1427","Avg HR","157 bpm"
"1428","Max HR","168 bpm"
"1429","Time","46:26"
"1430","Moving Time","46:18"
"1431","Elapsed Time","47:42"
"1432","Avg Speed","6.3 mph"
"1433","Avg Moving Speed","6.3 mph"
"1434","Max Speed","9.4 mph"
"1435","Total Ascent","215.4 ft"
"1436","Total Descent","207.1 ft"
"1437","Min Elev","629.5 ft"
"1438","Max Elev","780.8 ft"
"1439","Avg Run Cadence","143 spm"
"1440","Max Run Cadence","160 spm"
"1441","Avg Stride Length","1.18 m"
"1442","title","Athens Running"
"1443","Distance","4.01 mi"
"1444","Calories Burned","488 C"
"1445","Calories Consumed","-- C"
"1446","Calories Net","-488 C"
"1447","Est. Sweat Loss","170 ml"
"1448","Fluid Consumed","-- ml"
"1449","Fluid Net","-170 ml"
"1450","Aerobic","3.5 Impacting"
"1451","Anaerobic","0.0 No Benefit"
"1452","Avg HR","170 bpm"
"1453","Max HR","184 bpm"
"1454","Time","28:22"
"1455","Moving Time","28:21"
"1456","Elapsed Time","28:22"
"1457","Avg Speed","8.5 mph"
"1458","Avg Moving Speed","8.5 mph"
"1459","Max Speed","10.4 mph"
"1460","Total Ascent","189.0 ft"
"1461","Total Descent","179.6 ft"
"1462","Min Elev","634.7 ft"
"1463","Max Elev","741.5 ft"
"1464","Avg Run Cadence","155 spm"
"1465","Max Run Cadence","184 spm"
"1466","Avg Stride Length","1.47 m"
"1467","title","Athens Running"
"1468","Distance","8.01 mi"
"1469","Calories Burned","1,039 C"
"1470","Calories Consumed","-- C"
"1471","Calories Net","-1,039 C"
"1472","Est. Sweat Loss","388 ml"
"1473","Fluid Consumed","-- ml"
"1474","Fluid Net","-388 ml"
"1475","Aerobic","4.1 Highly Impacting"
"1476","Anaerobic","0.1 No Benefit"
"1477","Avg HR","160 bpm"
"1478","Max HR","176 bpm"
"1479","Time","1:04:42"
"1480","Moving Time","1:04:39"
"1481","Elapsed Time","1:05:07"
"1482","Avg Speed","7.4 mph"
"1483","Avg Moving Speed","7.4 mph"
